WORLD_CUP_YEAR,HOST,CHAMPION,RUNNER UP,THIRD PLACE,TEAMS_COUNT,MATCHES_COUNT,GOALS_COUNT,AVERAGE_GOALS_PER_GAME,QUALIFIED_TEAMS_COUNT,ATTENDANCE_STRENGTH
1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6,13,590
1934,Italy,Italy,Czechoslovakia,Germany,16,17,70,4.1,16,363
1938,France,Italy,Hungary,Brazil,15,18,84,4.7,15,375
1950,Brazil,Uruguay,Brazil,Sweden,13,22,88,4,13,1045
1954,Switzerland,West Germany,Hungary,Austria,16,26,140,5.4,16,768
1958,Sweden,Brazil,Sweden,France,16,35,126,3.6,16,819
1962,Chile,Brazil,Czechoslovakia,Chile,16,32,89,2.8,16,893
1966,England,England,West Germany,Portugal,16,32,89,2.8,16,1563
1970,Mexico,Brazil,Italy,West Germany,16,32,95,3,16,1603
1974,West_Germany,West_Germany,Netherlands,Poland,16,38,97,2.6,16,1865
1978,Argentina,Argentina,Netherlands,Brazil,16,38,102,2.7,16,1545
1982,Spain,Italy,West_Germany,Poland,24,52,146,2.8,24,2109
1986,Mexico,Argentina,West_Germany,France,24,52,132,2.5,24,2394
1990,Italy,West_Germany,Argentina,Italy,24,52,115,2.2,24,2516
1994,United States,Brazil,Italy,Sweden,24,52,141,2.7,24,3587
1998,France,France,Brazil,Croatia,32,64,171,2.7,32,2785
2002,"South Korea, Japan",Brazil,Germany,Turkey,32,64,161,2.5,32,2705
2006,Germany,Italy,France,Germany,32,64,147,2.3,32,3359
2010,South Africa,Spain,Netherlands,Germany,32,64,145,2.3,32,3178
2014,Brazil,Germany,Argentina,Netherlands,32,64,171,2.7,32,3386
2018,Russia,France,Croatia,Belgium,32,64,169,2.6,36,4325
2022,Qatar,Argentina,France,Croatia,32,64,172,2.7,36,4533